Name,Date,Atoll,Site,Transect,Treatment,Tile,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments,Row,Column,Label code
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,594,874,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,770,1037,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,759,1091,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,652,894,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,773,1115,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,574,1116,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,683,1269,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,654,1385,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,740,1474,_LOBO
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,805,1498,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,801,1371,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,636,1390,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,484,1490,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,449,1613,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,604,1984,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,488,1995,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,748,1833,CCAG
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,569,1803,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,488,1772,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,800,1772,BareP
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,615,1907,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,460,1634,*TURF
