Name,Atoll,Site,Transect,Treatment,Row,Column,Label.code,Label_Count
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,61,1682,_CCA,5677
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,176,1802,_CCA,5677
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,39,1691,_CCA,5677
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,237,1924,_CCA,5677
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,148,1702,_CCA,5677
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,79,1974,_CCA,5677
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,271,1787,_CCA,5677
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,343,1853,_CCA,5677
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,382,1700,_CCA,5677
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,478,268,_CCA,5677
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,478,378,_CCA,5677
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,438,155,_CCA,5677
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,595,403,GREEN,197
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,740,329,_CCA,5677
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,507,382,_CCA,5677
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,681,611,_CCA,5677
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,723,659,_CCA,5677
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,664,526,GREEN,197
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,691,829,_CCA,5677
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,544,665,_CCA,5677
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,680,766,_CCA,5677
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,808,472,GREEN,197
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,526,806,_CCA,5677
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,837,1150,_LOBO,2087
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,497,973,_CCA,5677
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,575,1095,_CCA,5677
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,670,859,_CCA,5677
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,515,1001,_CCA,5677
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,641,1163,_CCA,5677
